time (UTC),EPEX Dayahead (DE_LUX) [€/MWh]
2020-12-31 23:00:00 UTC+0000,50.87
2021-01-01 00:00:00 UTC+0000,48.19
2021-01-01 01:00:00 UTC+0000,44.68
2021-01-01 02:00:00 UTC+0000,42.92
2021-01-01 03:00:00 UTC+0000,40.39
2021-01-01 04:00:00 UTC+0000,40.2
2021-01-01 05:00:00 UTC+0000,39.63
2021-01-01 06:00:00 UTC+0000,40.09
2021-01-01 07:00:00 UTC+0000,41.27
2021-01-01 08:00:00 UTC+0000,44.88
2021-01-01 09:00:00 UTC+0000,45.0
2021-01-01 10:00:00 UTC+0000,47.2
2021-01-01 11:00:00 UTC+0000,50.78
2021-01-01 12:00:00 UTC+0000,45.49
2021-01-01 13:00:00 UTC+0000,44.73
2021-01-01 14:00:00 UTC+0000,46.59
2021-01-01 15:00:00 UTC+0000,52.99
2021-01-01 16:00:00 UTC+0000,60.26
2021-01-01 17:00:00 UTC+0000,60.61
2021-01-01 18:00:00 UTC+0000,60.36
2021-01-01 19:00:00 UTC+0000,57.4
2021-01-01 20:00:00 UTC+0000,53.86
2021-01-01 21:00:00 UTC+0000,53.45
2021-01-01 22:00:00 UTC+0000,49.72
2021-01-01 23:00:00 UTC+0000,46.69
2021-01-02 00:00:00 UTC+0000,42.43
2021-01-02 01:00:00 UTC+0000,41.09
2021-01-02 02:00:00 UTC+0000,40.0
2021-01-02 03:00:00 UTC+0000,37.55
2021-01-02 04:00:00 UTC+0000,39.0
2021-01-02 05:00:00 UTC+0000,42.09
2021-01-02 06:00:00 UTC+0000,44.96
2021-01-02 07:00:00 UTC+0000,48.45
2021-01-02 08:00:00 UTC+0000,52.0
2021-01-02 09:00:00 UTC+0000,52.0
2021-01-02 10:00:00 UTC+0000,52.15
2021-01-02 11:00:00 UTC+0000,55.95
2021-01-02 12:00:00 UTC+0000,52.0
2021-01-02 13:00:00 UTC+0000,50.69
2021-01-02 14:00:00 UTC+0000,53.45
2021-01-02 15:00:00 UTC+0000,59.99
2021-01-02 16:00:00 UTC+0000,62.0
2021-01-02 17:00:00 UTC+0000,63.08
2021-01-02 18:00:00 UTC+0000,62.17
2021-01-02 19:00:00 UTC+0000,60.03
2021-01-02 20:00:00 UTC+0000,55.03
2021-01-02 21:00:00 UTC+0000,52.25
2021-01-02 22:00:00 UTC+0000,48.45
2021-01-02 23:00:00 UTC+0000,46.11
2021-01-03 00:00:00 UTC+0000,43.0
2021-01-03 01:00:00 UTC+0000,39.55
2021-01-03 02:00:00 UTC+0000,35.18
2021-01-03 03:00:00 UTC+0000,33.45
2021-01-03 04:00:00 UTC+0000,32.37
2021-01-03 05:00:00 UTC+0000,31.7
2021-01-03 06:00:00 UTC+0000,32.63
2021-01-03 07:00:00 UTC+0000,36.9
2021-01-03 08:00:00 UTC+0000,36.96
2021-01-03 09:00:00 UTC+0000,36.96
2021-01-03 10:00:00 UTC+0000,43.72
2021-01-03 11:00:00 UTC+0000,47.71
2021-01-03 12:00:00 UTC+0000,40.41
2021-01-03 13:00:00 UTC+0000,39.66
2021-01-03 14:00:00 UTC+0000,39.57
2021-01-03 15:00:00 UTC+0000,36.11
2021-01-03 16:00:00 UTC+0000,45.04
2021-01-03 17:00:00 UTC+0000,52.56
2021-01-03 18:00:00 UTC+0000,45.84
2021-01-03 19:00:00 UTC+0000,35.83
2021-01-03 20:00:00 UTC+0000,33.31
2021-01-03 21:00:00 UTC+0000,34.98
2021-01-03 22:00:00 UTC+0000,27.39
2021-01-03 23:00:00 UTC+0000,29.33
2021-01-04 00:00:00 UTC+0000,24.82
2021-01-04 01:00:00 UTC+0000,24.65
2021-01-04 02:00:00 UTC+0000,24.8
2021-01-04 03:00:00 UTC+0000,27.71
2021-01-04 04:00:00 UTC+0000,28.58
2021-01-04 05:00:00 UTC+0000,37.04
2021-01-04 06:00:00 UTC+0000,52.03
2021-01-04 07:00:00 UTC+0000,55.76
2021-01-04 08:00:00 UTC+0000,57.06
2021-01-04 09:00:00 UTC+0000,57.18
2021-01-04 10:00:00 UTC+0000,60.0
2021-01-04 11:00:00 UTC+0000,61.27
2021-01-04 12:00:00 UTC+0000,60.28
2021-01-04 13:00:00 UTC+0000,60.07
