time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2020-12-31 23:00:00 UTC+0000,1.565
2021-01-01 03:00:00 UTC+0000,2.25
2021-01-01 07:00:00 UTC+0000,3.41
2021-01-01 11:00:00 UTC+0000,3.3625
2021-01-01 15:00:00 UTC+0000,5.44
2021-01-01 19:00:00 UTC+0000,2.67
2021-01-01 23:00:00 UTC+0000,1.36
2021-01-02 03:00:00 UTC+0000,1.955
2021-01-02 07:00:00 UTC+0000,3.39
2021-01-02 11:00:00 UTC+0000,3.0575
2021-01-02 15:00:00 UTC+0000,5.3375
2021-01-02 19:00:00 UTC+0000,2.255
2021-01-02 23:00:00 UTC+0000,1.22
2021-01-03 03:00:00 UTC+0000,1.69
2021-01-03 07:00:00 UTC+0000,2.61
2021-01-03 11:00:00 UTC+0000,2.4275
2021-01-03 15:00:00 UTC+0000,4.4325
2021-01-03 19:00:00 UTC+0000,1.9275
2021-01-03 23:00:00 UTC+0000,1.32
2021-01-04 03:00:00 UTC+0000,1.91
2021-01-04 07:00:00 UTC+0000,4.5675
2021-01-04 11:00:00 UTC+0000,3.2775
2021-01-04 15:00:00 UTC+0000,6.3375
2021-01-04 19:00:00 UTC+0000,2.11
2021-01-04 23:00:00 UTC+0000,1.25
2021-01-05 03:00:00 UTC+0000,1.855
2021-01-05 07:00:00 UTC+0000,4.295
2021-01-05 11:00:00 UTC+0000,3.105
2021-01-05 15:00:00 UTC+0000,7.01
2021-01-05 19:00:00 UTC+0000,1.975
2021-01-05 23:00:00 UTC+0000,1.1125
2021-01-06 03:00:00 UTC+0000,1.55
2021-01-06 07:00:00 UTC+0000,3.68
2021-01-06 11:00:00 UTC+0000,2.725
2021-01-06 15:00:00 UTC+0000,6.3225
2021-01-06 19:00:00 UTC+0000,1.8075
2021-01-06 23:00:00 UTC+0000,1.1725
2021-01-07 03:00:00 UTC+0000,1.73
2021-01-07 07:00:00 UTC+0000,7.02
2021-01-07 11:00:00 UTC+0000,4.67
2021-01-07 15:00:00 UTC+0000,11.66
2021-01-07 19:00:00 UTC+0000,1.8125
2021-01-07 23:00:00 UTC+0000,1.1
2021-01-08 03:00:00 UTC+0000,1.77
2021-01-08 07:00:00 UTC+0000,9.1
2021-01-08 11:00:00 UTC+0000,6.54
2021-01-08 15:00:00 UTC+0000,13.88
2021-01-08 19:00:00 UTC+0000,1.78
2021-01-08 23:00:00 UTC+0000,1.0725
2021-01-09 03:00:00 UTC+0000,1.57
2021-01-09 07:00:00 UTC+0000,4.35
2021-01-09 11:00:00 UTC+0000,2.95
2021-01-09 15:00:00 UTC+0000,6.64
2021-01-09 19:00:00 UTC+0000,1.5875
2021-01-09 23:00:00 UTC+0000,0.94
2021-01-10 03:00:00 UTC+0000,1.2975
2021-01-10 07:00:00 UTC+0000,3.42
2021-01-10 11:00:00 UTC+0000,2.4275
2021-01-10 15:00:00 UTC+0000,5.29
2021-01-10 19:00:00 UTC+0000,1.32
2021-01-10 23:00:00 UTC+0000,0.9
2021-01-11 03:00:00 UTC+0000,1.5125
2021-01-11 07:00:00 UTC+0000,4.26
2021-01-11 11:00:00 UTC+0000,2.625
2021-01-11 15:00:00 UTC+0000,6.1
2021-01-11 19:00:00 UTC+0000,1.265
2021-01-11 23:00:00 UTC+0000,1.065
2021-01-12 03:00:00 UTC+0000,1.625
2021-01-12 07:00:00 UTC+0000,4.7
2021-01-12 11:00:00 UTC+0000,2.6075
2021-01-12 15:00:00 UTC+0000,6.75
2021-01-12 19:00:00 UTC+0000,1.46
2021-01-12 23:00:00 UTC+0000,0.895
2021-01-13 03:00:00 UTC+0000,1.5
2021-01-13 07:00:00 UTC+0000,4.5
2021-01-13 11:00:00 UTC+0000,2.4
2021-01-13 15:00:00 UTC+0000,6.1075
2021-01-13 19:00:00 UTC+0000,1.2275
2021-01-13 23:00:00 UTC+0000,0.91
2021-01-14 03:00:00 UTC+0000,1.49
2021-01-14 07:00:00 UTC+0000,8.25
2021-01-14 11:00:00 UTC+0000,5.66
2021-01-14 15:00:00 UTC+0000,12.73
2021-01-14 19:00:00 UTC+0000,1.965
2021-01-14 23:00:00 UTC+0000,1.045
2021-01-15 03:00:00 UTC+0000,1.7225
2021-01-15 07:00:00 UTC+0000,9.93
2021-01-15 11:00:00 UTC+0000,6.05
2021-01-15 15:00:00 UTC+0000,14.445
2021-01-15 19:00:00 UTC+0000,1.8775
2021-01-15 23:00:00 UTC+0000,0.95
2021-01-16 03:00:00 UTC+0000,1.455
2021-01-16 07:00:00 UTC+0000,4.715
2021-01-16 11:00:00 UTC+0000,2.9475
2021-01-16 15:00:00 UTC+0000,6.7375
2021-01-16 19:00:00 UTC+0000,1.48
2021-01-16 23:00:00 UTC+0000,0.9
2021-01-17 03:00:00 UTC+0000,1.34
2021-01-17 07:00:00 UTC+0000,3.8275
2021-01-17 11:00:00 UTC+0000,2.54
2021-01-17 15:00:00 UTC+0000,5.7375
2021-01-17 19:00:00 UTC+0000,1.37
2021-01-17 23:00:00 UTC+0000,0.87
2021-01-18 03:00:00 UTC+0000,1.3525
2021-01-18 07:00:00 UTC+0000,5.3075
2021-01-18 11:00:00 UTC+0000,2.56
2021-01-18 15:00:00 UTC+0000,5.645
2021-01-18 19:00:00 UTC+0000,1.245
2021-01-18 23:00:00 UTC+0000,0.915
2021-01-19 03:00:00 UTC+0000,1.31
2021-01-19 07:00:00 UTC+0000,4.64
2021-01-19 11:00:00 UTC+0000,2.29
2021-01-19 15:00:00 UTC+0000,4.83
2021-01-19 19:00:00 UTC+0000,1.12
2021-01-19 23:00:00 UTC+0000,0.86
2021-01-20 03:00:00 UTC+0000,1.32
2021-01-20 07:00:00 UTC+0000,4.175
2021-01-20 11:00:00 UTC+0000,2.3
2021-01-20 15:00:00 UTC+0000,5.21
2021-01-20 19:00:00 UTC+0000,1.095
2021-01-20 23:00:00 UTC+0000,0.8125
2021-01-21 03:00:00 UTC+0000,1.355
2021-01-21 07:00:00 UTC+0000,3.8525
2021-01-21 11:00:00 UTC+0000,1.9525
2021-01-21 15:00:00 UTC+0000,4.99
2021-01-21 19:00:00 UTC+0000,1.035
2021-01-21 23:00:00 UTC+0000,0.7925
2021-01-22 03:00:00 UTC+0000,1.41
2021-01-22 07:00:00 UTC+0000,3.75
2021-01-22 11:00:00 UTC+0000,1.85
2021-01-22 15:00:00 UTC+0000,8.31
2021-01-22 19:00:00 UTC+0000,1.42
2021-01-22 23:00:00 UTC+0000,0.8025
2021-01-23 03:00:00 UTC+0000,1.145
2021-01-23 07:00:00 UTC+0000,3.55
2021-01-23 11:00:00 UTC+0000,1.695
2021-01-23 15:00:00 UTC+0000,5.3025
2021-01-23 19:00:00 UTC+0000,1.03
2021-01-23 23:00:00 UTC+0000,0.6925
2021-01-24 03:00:00 UTC+0000,0.99
2021-01-24 07:00:00 UTC+0000,3.0225
2021-01-24 11:00:00 UTC+0000,1.465
2021-01-24 15:00:00 UTC+0000,4.5
2021-01-24 19:00:00 UTC+0000,0.9125
2021-01-24 23:00:00 UTC+0000,0.7525
