time (UTC),aFRR-_capacity_marginal_price[(EUR/MW)/h]
2020-12-31 23:00:00 UTC+0000,5.5825
2021-01-01 03:00:00 UTC+0000,4.6
2021-01-01 07:00:00 UTC+0000,1.5
2021-01-01 11:00:00 UTC+0000,1.4575
2021-01-01 15:00:00 UTC+0000,1.25
2021-01-01 19:00:00 UTC+0000,1.19
2021-01-01 23:00:00 UTC+0000,4.8325
2021-01-02 03:00:00 UTC+0000,3.9
2021-01-02 07:00:00 UTC+0000,1.19
2021-01-02 11:00:00 UTC+0000,1.15
2021-01-02 15:00:00 UTC+0000,0.995
2021-01-02 19:00:00 UTC+0000,0.98
2021-01-02 23:00:00 UTC+0000,4.63
2021-01-03 03:00:00 UTC+0000,4.3375
2021-01-03 07:00:00 UTC+0000,1.45
2021-01-03 11:00:00 UTC+0000,1.26
2021-01-03 15:00:00 UTC+0000,1.005
2021-01-03 19:00:00 UTC+0000,1.27
2021-01-03 23:00:00 UTC+0000,5.31
2021-01-04 03:00:00 UTC+0000,3.71
2021-01-04 07:00:00 UTC+0000,1.1925
2021-01-04 11:00:00 UTC+0000,1.05
2021-01-04 15:00:00 UTC+0000,0.9125
2021-01-04 19:00:00 UTC+0000,0.95
2021-01-04 23:00:00 UTC+0000,4.86
2021-01-05 03:00:00 UTC+0000,3.2175
2021-01-05 07:00:00 UTC+0000,0.9825
2021-01-05 11:00:00 UTC+0000,0.92
2021-01-05 15:00:00 UTC+0000,0.78
2021-01-05 19:00:00 UTC+0000,0.835
2021-01-05 23:00:00 UTC+0000,4.91
2021-01-06 03:00:00 UTC+0000,2.775
2021-01-06 07:00:00 UTC+0000,0.875
2021-01-06 11:00:00 UTC+0000,0.8125
2021-01-06 15:00:00 UTC+0000,0.76
2021-01-06 19:00:00 UTC+0000,0.775
2021-01-06 23:00:00 UTC+0000,4.77
2021-01-07 03:00:00 UTC+0000,2.455
2021-01-07 07:00:00 UTC+0000,0.75
2021-01-07 11:00:00 UTC+0000,0.7175
2021-01-07 15:00:00 UTC+0000,0.685
2021-01-07 19:00:00 UTC+0000,0.7425
2021-01-07 23:00:00 UTC+0000,4.42
2021-01-08 03:00:00 UTC+0000,2.36
2021-01-08 07:00:00 UTC+0000,0.645
2021-01-08 11:00:00 UTC+0000,0.6275
2021-01-08 15:00:00 UTC+0000,0.6175
2021-01-08 19:00:00 UTC+0000,0.6675
2021-01-08 23:00:00 UTC+0000,4.4575
2021-01-09 03:00:00 UTC+0000,2.1
2021-01-09 07:00:00 UTC+0000,0.7375
2021-01-09 11:00:00 UTC+0000,0.6475
2021-01-09 15:00:00 UTC+0000,0.65
2021-01-09 19:00:00 UTC+0000,0.66
2021-01-09 23:00:00 UTC+0000,3.88
2021-01-10 03:00:00 UTC+0000,1.8075
2021-01-10 07:00:00 UTC+0000,0.6225
2021-01-10 11:00:00 UTC+0000,0.56
2021-01-10 15:00:00 UTC+0000,0.54
2021-01-10 19:00:00 UTC+0000,0.57
2021-01-10 23:00:00 UTC+0000,3.9725
2021-01-11 03:00:00 UTC+0000,1.75
2021-01-11 07:00:00 UTC+0000,0.525
2021-01-11 11:00:00 UTC+0000,0.5175
2021-01-11 15:00:00 UTC+0000,0.5
2021-01-11 19:00:00 UTC+0000,2.25
2021-01-11 23:00:00 UTC+0000,10.625
2021-01-12 03:00:00 UTC+0000,3.2375
2021-01-12 07:00:00 UTC+0000,0.5525
2021-01-12 11:00:00 UTC+0000,0.5525
2021-01-12 15:00:00 UTC+0000,0.505
2021-01-12 19:00:00 UTC+0000,1.9125
2021-01-12 23:00:00 UTC+0000,8.0
2021-01-13 03:00:00 UTC+0000,2.485
2021-01-13 07:00:00 UTC+0000,0.65
2021-01-13 11:00:00 UTC+0000,0.5
2021-01-13 15:00:00 UTC+0000,0.5
2021-01-13 19:00:00 UTC+0000,1.3
2021-01-13 23:00:00 UTC+0000,5.0
2021-01-14 03:00:00 UTC+0000,1.72
2021-01-14 07:00:00 UTC+0000,0.5
2021-01-14 11:00:00 UTC+0000,0.46
2021-01-14 15:00:00 UTC+0000,0.4775
2021-01-14 19:00:00 UTC+0000,0.8125
2021-01-14 23:00:00 UTC+0000,4.3275
2021-01-15 03:00:00 UTC+0000,1.3825
2021-01-15 07:00:00 UTC+0000,0.45
2021-01-15 11:00:00 UTC+0000,0.425
2021-01-15 15:00:00 UTC+0000,0.45
2021-01-15 19:00:00 UTC+0000,0.69
2021-01-15 23:00:00 UTC+0000,3.64
2021-01-16 03:00:00 UTC+0000,1.25
2021-01-16 07:00:00 UTC+0000,0.4375
2021-01-16 11:00:00 UTC+0000,0.405
2021-01-16 15:00:00 UTC+0000,0.405
2021-01-16 19:00:00 UTC+0000,0.6
2021-01-16 23:00:00 UTC+0000,3.45
2021-01-17 03:00:00 UTC+0000,1.2325
2021-01-17 07:00:00 UTC+0000,0.395
2021-01-17 11:00:00 UTC+0000,0.37
2021-01-17 15:00:00 UTC+0000,0.375
2021-01-17 19:00:00 UTC+0000,0.52
2021-01-17 23:00:00 UTC+0000,3.44
2021-01-18 03:00:00 UTC+0000,1.085
2021-01-18 07:00:00 UTC+0000,0.38
2021-01-18 11:00:00 UTC+0000,0.365
2021-01-18 15:00:00 UTC+0000,0.375
2021-01-18 19:00:00 UTC+0000,1.1
2021-01-18 23:00:00 UTC+0000,5.45
2021-01-19 03:00:00 UTC+0000,1.185
2021-01-19 07:00:00 UTC+0000,0.375
2021-01-19 11:00:00 UTC+0000,0.375
2021-01-19 15:00:00 UTC+0000,0.375
2021-01-19 19:00:00 UTC+0000,1.25
2021-01-19 23:00:00 UTC+0000,10.53
2021-01-20 03:00:00 UTC+0000,4.54
2021-01-20 07:00:00 UTC+0000,0.505
2021-01-20 11:00:00 UTC+0000,0.3525
2021-01-20 15:00:00 UTC+0000,0.3675
2021-01-20 19:00:00 UTC+0000,1.32
2021-01-20 23:00:00 UTC+0000,16.67
2021-01-21 03:00:00 UTC+0000,9.07
2021-01-21 07:00:00 UTC+0000,1.5875
2021-01-21 11:00:00 UTC+0000,1.8375
2021-01-21 15:00:00 UTC+0000,0.5
2021-01-21 19:00:00 UTC+0000,1.225
2021-01-21 23:00:00 UTC+0000,13.4175
2021-01-22 03:00:00 UTC+0000,8.345
2021-01-22 07:00:00 UTC+0000,0.7575
2021-01-22 11:00:00 UTC+0000,0.7
2021-01-22 15:00:00 UTC+0000,0.36
2021-01-22 19:00:00 UTC+0000,0.925
2021-01-22 23:00:00 UTC+0000,5.1425
2021-01-23 03:00:00 UTC+0000,2.75
2021-01-23 07:00:00 UTC+0000,0.475
2021-01-23 11:00:00 UTC+0000,0.4725
2021-01-23 15:00:00 UTC+0000,0.3375
2021-01-23 19:00:00 UTC+0000,0.615
2021-01-23 23:00:00 UTC+0000,3.9125
2021-01-24 03:00:00 UTC+0000,2.42
2021-01-24 07:00:00 UTC+0000,0.3725
2021-01-24 11:00:00 UTC+0000,0.355
2021-01-24 15:00:00 UTC+0000,0.3
2021-01-24 19:00:00 UTC+0000,0.475
2021-01-24 23:00:00 UTC+0000,3.47
2021-01-25 03:00:00 UTC+0000,1.8475
2021-01-25 07:00:00 UTC+0000,0.34
2021-01-25 11:00:00 UTC+0000,0.38
2021-01-25 15:00:00 UTC+0000,0.3
2021-01-25 19:00:00 UTC+0000,0.5
2021-01-25 23:00:00 UTC+0000,3.6
2021-01-26 03:00:00 UTC+0000,1.45
2021-01-26 07:00:00 UTC+0000,0.495
2021-01-26 11:00:00 UTC+0000,0.42
2021-01-26 15:00:00 UTC+0000,0.3
2021-01-26 19:00:00 UTC+0000,0.425
2021-01-26 23:00:00 UTC+0000,3.1575
2021-01-27 03:00:00 UTC+0000,1.2
2021-01-27 07:00:00 UTC+0000,0.37
2021-01-27 11:00:00 UTC+0000,0.355
2021-01-27 15:00:00 UTC+0000,0.3
2021-01-27 19:00:00 UTC+0000,0.385
2021-01-27 23:00:00 UTC+0000,3.0
2021-01-28 03:00:00 UTC+0000,1.125
2021-01-28 07:00:00 UTC+0000,0.3125
2021-01-28 11:00:00 UTC+0000,0.315
2021-01-28 15:00:00 UTC+0000,0.3
2021-01-28 19:00:00 UTC+0000,0.3675
2021-01-28 23:00:00 UTC+0000,3.41
2021-01-29 03:00:00 UTC+0000,1.0
2021-01-29 07:00:00 UTC+0000,0.3025
2021-01-29 11:00:00 UTC+0000,0.3025
2021-01-29 15:00:00 UTC+0000,0.3
2021-01-29 19:00:00 UTC+0000,0.365
2021-01-29 23:00:00 UTC+0000,3.53
2021-01-30 03:00:00 UTC+0000,1.125
2021-01-30 07:00:00 UTC+0000,0.3375
2021-01-30 11:00:00 UTC+0000,0.325
2021-01-30 15:00:00 UTC+0000,0.3
2021-01-30 19:00:00 UTC+0000,0.39
2021-01-30 23:00:00 UTC+0000,3.25
2021-01-31 03:00:00 UTC+0000,3.7275
2021-01-31 07:00:00 UTC+0000,0.3225
2021-01-31 11:00:00 UTC+0000,0.3175
2021-01-31 15:00:00 UTC+0000,0.3
2021-01-31 19:00:00 UTC+0000,0.4175
2021-01-31 23:00:00 UTC+0000,3.14
2021-02-01 03:00:00 UTC+0000,2.6075
2021-02-01 07:00:00 UTC+0000,0.325
2021-02-01 11:00:00 UTC+0000,0.3325
2021-02-01 15:00:00 UTC+0000,0.3025
2021-02-01 19:00:00 UTC+0000,0.36
2021-02-01 23:00:00 UTC+0000,2.825
2021-02-02 03:00:00 UTC+0000,1.535
2021-02-02 07:00:00 UTC+0000,0.3
2021-02-02 11:00:00 UTC+0000,0.325
2021-02-02 15:00:00 UTC+0000,0.3
2021-02-02 19:00:00 UTC+0000,1.57
2021-02-02 23:00:00 UTC+0000,4.4125
2021-02-03 03:00:00 UTC+0000,1.575
2021-02-03 07:00:00 UTC+0000,1.1775
2021-02-03 11:00:00 UTC+0000,1.085
2021-02-03 15:00:00 UTC+0000,1.035
2021-02-03 19:00:00 UTC+0000,5.0
2021-02-03 23:00:00 UTC+0000,10.5875
2021-02-04 03:00:00 UTC+0000,2.4975
2021-02-04 07:00:00 UTC+0000,0.9775
2021-02-04 11:00:00 UTC+0000,0.965
2021-02-04 15:00:00 UTC+0000,0.96
2021-02-04 19:00:00 UTC+0000,2.1675
2021-02-04 23:00:00 UTC+0000,5.645
2021-02-05 03:00:00 UTC+0000,1.63
2021-02-05 07:00:00 UTC+0000,1.2
2021-02-05 11:00:00 UTC+0000,1.075
2021-02-05 15:00:00 UTC+0000,1.25
2021-02-05 19:00:00 UTC+0000,1.7775
2021-02-05 23:00:00 UTC+0000,6.125
2021-02-06 03:00:00 UTC+0000,5.1875
2021-02-06 07:00:00 UTC+0000,1.9375
2021-02-06 11:00:00 UTC+0000,2.28
2021-02-06 15:00:00 UTC+0000,2.75
2021-02-06 19:00:00 UTC+0000,5.115
2021-02-06 23:00:00 UTC+0000,30.005
2021-02-07 03:00:00 UTC+0000,40.0
2021-02-07 07:00:00 UTC+0000,7.55
2021-02-07 11:00:00 UTC+0000,4.445
2021-02-07 15:00:00 UTC+0000,3.005
2021-02-07 19:00:00 UTC+0000,4.5
2021-02-07 23:00:00 UTC+0000,13.25
2021-02-08 03:00:00 UTC+0000,15.33
2021-02-08 07:00:00 UTC+0000,3.435
2021-02-08 11:00:00 UTC+0000,2.1875
2021-02-08 15:00:00 UTC+0000,1.5
2021-02-08 19:00:00 UTC+0000,2.25
2021-02-08 23:00:00 UTC+0000,12.6
