time (UTC),mFRR+_capacity_marginal_price[(EUR/MW)/h]
2020-12-31 23:00:00 UTC+0000,0.25
2021-01-01 03:00:00 UTC+0000,0.34
2021-01-01 07:00:00 UTC+0000,0.85
2021-01-01 11:00:00 UTC+0000,0.85
2021-01-01 15:00:00 UTC+0000,3.05
2021-01-01 19:00:00 UTC+0000,1.215
2021-01-01 23:00:00 UTC+0000,0.265
2021-01-02 03:00:00 UTC+0000,0.3
2021-01-02 07:00:00 UTC+0000,1.25
2021-01-02 11:00:00 UTC+0000,1.0
2021-01-02 15:00:00 UTC+0000,3.45
2021-01-02 19:00:00 UTC+0000,1.2
2021-01-02 23:00:00 UTC+0000,0.25
2021-01-03 03:00:00 UTC+0000,0.5
2021-01-03 07:00:00 UTC+0000,1.0
2021-01-03 11:00:00 UTC+0000,0.8175
2021-01-03 15:00:00 UTC+0000,3.04
2021-01-03 19:00:00 UTC+0000,1.0
2021-01-03 23:00:00 UTC+0000,0.25
2021-01-04 03:00:00 UTC+0000,1.0
2021-01-04 07:00:00 UTC+0000,2.5
2021-01-04 11:00:00 UTC+0000,1.5
2021-01-04 15:00:00 UTC+0000,5.14
2021-01-04 19:00:00 UTC+0000,1.5
2021-01-04 23:00:00 UTC+0000,0.5
2021-01-05 03:00:00 UTC+0000,1.0
2021-01-05 07:00:00 UTC+0000,2.075
2021-01-05 11:00:00 UTC+0000,1.29
2021-01-05 15:00:00 UTC+0000,4.6
2021-01-05 19:00:00 UTC+0000,1.11
2021-01-05 23:00:00 UTC+0000,0.265
2021-01-06 03:00:00 UTC+0000,0.52
2021-01-06 07:00:00 UTC+0000,1.25
2021-01-06 11:00:00 UTC+0000,1.025
2021-01-06 15:00:00 UTC+0000,4.175
2021-01-06 19:00:00 UTC+0000,0.95
2021-01-06 23:00:00 UTC+0000,0.5975
2021-01-07 03:00:00 UTC+0000,1.6
2021-01-07 07:00:00 UTC+0000,7.75
2021-01-07 11:00:00 UTC+0000,4.6
2021-01-07 15:00:00 UTC+0000,10.98
2021-01-07 19:00:00 UTC+0000,1.85
2021-01-07 23:00:00 UTC+0000,0.45
2021-01-08 03:00:00 UTC+0000,1.925
2021-01-08 07:00:00 UTC+0000,9.97
2021-01-08 11:00:00 UTC+0000,7.23
2021-01-08 15:00:00 UTC+0000,14.25
2021-01-08 19:00:00 UTC+0000,1.75
2021-01-08 23:00:00 UTC+0000,0.325
2021-01-09 03:00:00 UTC+0000,1.165
2021-01-09 07:00:00 UTC+0000,3.65
2021-01-09 11:00:00 UTC+0000,2.465
2021-01-09 15:00:00 UTC+0000,5.05
2021-01-09 19:00:00 UTC+0000,1.3
2021-01-09 23:00:00 UTC+0000,0.25
2021-01-10 03:00:00 UTC+0000,0.6675
2021-01-10 07:00:00 UTC+0000,2.25
2021-01-10 11:00:00 UTC+0000,1.72
2021-01-10 15:00:00 UTC+0000,3.95
2021-01-10 19:00:00 UTC+0000,1.0
2021-01-10 23:00:00 UTC+0000,0.2275
2021-01-11 03:00:00 UTC+0000,0.735
2021-01-11 07:00:00 UTC+0000,3.3975
2021-01-11 11:00:00 UTC+0000,2.2
2021-01-11 15:00:00 UTC+0000,4.85
2021-01-11 19:00:00 UTC+0000,0.96
2021-01-11 23:00:00 UTC+0000,0.25
2021-01-12 03:00:00 UTC+0000,0.72
2021-01-12 07:00:00 UTC+0000,4.0
2021-01-12 11:00:00 UTC+0000,1.62
2021-01-12 15:00:00 UTC+0000,4.6
2021-01-12 19:00:00 UTC+0000,0.93
2021-01-12 23:00:00 UTC+0000,0.25
2021-01-13 03:00:00 UTC+0000,0.675
2021-01-13 07:00:00 UTC+0000,3.5
2021-01-13 11:00:00 UTC+0000,1.45
2021-01-13 15:00:00 UTC+0000,4.29
2021-01-13 19:00:00 UTC+0000,0.79
2021-01-13 23:00:00 UTC+0000,0.45
2021-01-14 03:00:00 UTC+0000,1.5075
2021-01-14 07:00:00 UTC+0000,19.98
2021-01-14 11:00:00 UTC+0000,10.625
2021-01-14 15:00:00 UTC+0000,32.68
2021-01-14 19:00:00 UTC+0000,1.75
2021-01-14 23:00:00 UTC+0000,0.34
2021-01-15 03:00:00 UTC+0000,1.75
2021-01-15 07:00:00 UTC+0000,19.75
2021-01-15 11:00:00 UTC+0000,8.545
2021-01-15 15:00:00 UTC+0000,26.25
2021-01-15 19:00:00 UTC+0000,1.575
2021-01-15 23:00:00 UTC+0000,0.3
2021-01-16 03:00:00 UTC+0000,1.0
2021-01-16 07:00:00 UTC+0000,4.9175
2021-01-16 11:00:00 UTC+0000,2.4725
2021-01-16 15:00:00 UTC+0000,6.79
2021-01-16 19:00:00 UTC+0000,1.0
2021-01-16 23:00:00 UTC+0000,0.25
2021-01-17 03:00:00 UTC+0000,0.77
2021-01-17 07:00:00 UTC+0000,3.625
2021-01-17 11:00:00 UTC+0000,1.75
2021-01-17 15:00:00 UTC+0000,4.75
2021-01-17 19:00:00 UTC+0000,0.85
2021-01-17 23:00:00 UTC+0000,0.2275
2021-01-18 03:00:00 UTC+0000,2.4975
2021-01-18 07:00:00 UTC+0000,8.5525
2021-01-18 11:00:00 UTC+0000,2.2575
2021-01-18 15:00:00 UTC+0000,4.45
2021-01-18 19:00:00 UTC+0000,1.065
2021-01-18 23:00:00 UTC+0000,0.3325
2021-01-19 03:00:00 UTC+0000,1.5
2021-01-19 07:00:00 UTC+0000,5.25
2021-01-19 11:00:00 UTC+0000,1.46
2021-01-19 15:00:00 UTC+0000,3.68
2021-01-19 19:00:00 UTC+0000,0.8
2021-01-19 23:00:00 UTC+0000,0.25
2021-01-20 03:00:00 UTC+0000,1.22
2021-01-20 07:00:00 UTC+0000,4.1375
2021-01-20 11:00:00 UTC+0000,1.1875
2021-01-20 15:00:00 UTC+0000,4.095
2021-01-20 19:00:00 UTC+0000,0.75
2021-01-20 23:00:00 UTC+0000,0.235
2021-01-21 03:00:00 UTC+0000,0.96
2021-01-21 07:00:00 UTC+0000,3.325
2021-01-21 11:00:00 UTC+0000,0.935
2021-01-21 15:00:00 UTC+0000,3.5175
2021-01-21 19:00:00 UTC+0000,0.7
2021-01-21 23:00:00 UTC+0000,0.23
2021-01-22 03:00:00 UTC+0000,0.86
2021-01-22 07:00:00 UTC+0000,3.17
2021-01-22 11:00:00 UTC+0000,0.9725
2021-01-22 15:00:00 UTC+0000,10.3125
2021-01-22 19:00:00 UTC+0000,0.8975
2021-01-22 23:00:00 UTC+0000,0.25
2021-01-23 03:00:00 UTC+0000,0.85
2021-01-23 07:00:00 UTC+0000,2.7275
2021-01-23 11:00:00 UTC+0000,0.83
2021-01-23 15:00:00 UTC+0000,5.67
2021-01-23 19:00:00 UTC+0000,0.74
2021-01-23 23:00:00 UTC+0000,0.21
2021-01-24 03:00:00 UTC+0000,0.64
2021-01-24 07:00:00 UTC+0000,2.39
2021-01-24 11:00:00 UTC+0000,0.63
2021-01-24 15:00:00 UTC+0000,4.05
2021-01-24 19:00:00 UTC+0000,0.6
2021-01-24 23:00:00 UTC+0000,0.225
2021-01-25 03:00:00 UTC+0000,1.0275
2021-01-25 07:00:00 UTC+0000,10.5
2021-01-25 11:00:00 UTC+0000,1.79
2021-01-25 15:00:00 UTC+0000,11.7775
2021-01-25 19:00:00 UTC+0000,1.0375
2021-01-25 23:00:00 UTC+0000,0.5
2021-01-26 03:00:00 UTC+0000,1.17
2021-01-26 07:00:00 UTC+0000,9.375
2021-01-26 11:00:00 UTC+0000,1.5
2021-01-26 15:00:00 UTC+0000,10.11
2021-01-26 19:00:00 UTC+0000,1.34
2021-01-26 23:00:00 UTC+0000,0.64
2021-01-27 03:00:00 UTC+0000,0.925
2021-01-27 07:00:00 UTC+0000,7.955
2021-01-27 11:00:00 UTC+0000,1.34
2021-01-27 15:00:00 UTC+0000,8.5
2021-01-27 19:00:00 UTC+0000,1.5975
2021-01-27 23:00:00 UTC+0000,0.55
2021-01-28 03:00:00 UTC+0000,1.1325
2021-01-28 07:00:00 UTC+0000,7.285
2021-01-28 11:00:00 UTC+0000,1.3175
2021-01-28 15:00:00 UTC+0000,6.6625
2021-01-28 19:00:00 UTC+0000,1.5
2021-01-28 23:00:00 UTC+0000,0.5
2021-01-29 03:00:00 UTC+0000,0.9
2021-01-29 07:00:00 UTC+0000,5.02
2021-01-29 11:00:00 UTC+0000,1.05
2021-01-29 15:00:00 UTC+0000,5.275
2021-01-29 19:00:00 UTC+0000,1.0675
2021-01-29 23:00:00 UTC+0000,0.4275
2021-01-30 03:00:00 UTC+0000,0.715
2021-01-30 07:00:00 UTC+0000,3.75
2021-01-30 11:00:00 UTC+0000,0.85
2021-01-30 15:00:00 UTC+0000,4.85
2021-01-30 19:00:00 UTC+0000,0.8875
2021-01-30 23:00:00 UTC+0000,0.3875
2021-01-31 03:00:00 UTC+0000,0.7
