time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2020-12-31 23:00:00 UTC+0000,1.745
2021-01-01 03:00:00 UTC+0000,1.35
2021-01-01 07:00:00 UTC+0000,0.4
2021-01-01 11:00:00 UTC+0000,0.29
2021-01-01 15:00:00 UTC+0000,0.3
2021-01-01 19:00:00 UTC+0000,0.335
2021-01-01 23:00:00 UTC+0000,1.2075
2021-01-02 03:00:00 UTC+0000,0.9575
2021-01-02 07:00:00 UTC+0000,0.3
2021-01-02 11:00:00 UTC+0000,0.225
2021-01-02 15:00:00 UTC+0000,0.2275
2021-01-02 19:00:00 UTC+0000,0.25
2021-01-02 23:00:00 UTC+0000,1.05
2021-01-03 03:00:00 UTC+0000,0.905
2021-01-03 07:00:00 UTC+0000,0.375
2021-01-03 11:00:00 UTC+0000,0.3125
2021-01-03 15:00:00 UTC+0000,0.3
2021-01-03 19:00:00 UTC+0000,0.325
2021-01-03 23:00:00 UTC+0000,0.875
2021-01-04 03:00:00 UTC+0000,0.75
2021-01-04 07:00:00 UTC+0000,0.2625
2021-01-04 11:00:00 UTC+0000,0.2
2021-01-04 15:00:00 UTC+0000,0.1975
2021-01-04 19:00:00 UTC+0000,0.2575
2021-01-04 23:00:00 UTC+0000,0.685
2021-01-05 03:00:00 UTC+0000,0.65
2021-01-05 07:00:00 UTC+0000,0.22
2021-01-05 11:00:00 UTC+0000,0.2275
2021-01-05 15:00:00 UTC+0000,0.165
2021-01-05 19:00:00 UTC+0000,0.22
2021-01-05 23:00:00 UTC+0000,0.5825
2021-01-06 03:00:00 UTC+0000,0.6
2021-01-06 07:00:00 UTC+0000,0.22
2021-01-06 11:00:00 UTC+0000,0.195
2021-01-06 15:00:00 UTC+0000,0.225
2021-01-06 19:00:00 UTC+0000,0.195
2021-01-06 23:00:00 UTC+0000,0.54
2021-01-07 03:00:00 UTC+0000,0.5275
2021-01-07 07:00:00 UTC+0000,0.185
2021-01-07 11:00:00 UTC+0000,0.155
2021-01-07 15:00:00 UTC+0000,0.18
2021-01-07 19:00:00 UTC+0000,0.1775
2021-01-07 23:00:00 UTC+0000,0.435
2021-01-08 03:00:00 UTC+0000,0.44
2021-01-08 07:00:00 UTC+0000,0.1475
2021-01-08 11:00:00 UTC+0000,0.135
2021-01-08 15:00:00 UTC+0000,0.1475
2021-01-08 19:00:00 UTC+0000,0.1475
2021-01-08 23:00:00 UTC+0000,0.38
2021-01-09 03:00:00 UTC+0000,0.37
2021-01-09 07:00:00 UTC+0000,0.1525
2021-01-09 11:00:00 UTC+0000,0.125
2021-01-09 15:00:00 UTC+0000,0.14
2021-01-09 19:00:00 UTC+0000,0.1425
2021-01-09 23:00:00 UTC+0000,0.4125
2021-01-10 03:00:00 UTC+0000,0.4075
2021-01-10 07:00:00 UTC+0000,0.2125
2021-01-10 11:00:00 UTC+0000,0.1325
2021-01-10 15:00:00 UTC+0000,0.13
2021-01-10 19:00:00 UTC+0000,0.17
2021-01-10 23:00:00 UTC+0000,0.5625
2021-01-11 03:00:00 UTC+0000,0.745
2021-01-11 07:00:00 UTC+0000,0.1425
2021-01-11 11:00:00 UTC+0000,0.125
2021-01-11 15:00:00 UTC+0000,0.125
2021-01-11 19:00:00 UTC+0000,1.25
2021-01-11 23:00:00 UTC+0000,2.71
2021-01-12 03:00:00 UTC+0000,1.5
2021-01-12 07:00:00 UTC+0000,0.1875
2021-01-12 11:00:00 UTC+0000,0.16
