time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-07 23:00:00 UTC+0000,50.53,51.03,51.03,50.87
2021-01-08 00:00:00 UTC+0000,48.43,50.18,50.18,48.19
2021-01-08 01:00:00 UTC+0000,47.24,48.97,48.97,44.68
2021-01-08 02:00:00 UTC+0000,45.61,46.72,46.72,42.92
2021-01-08 03:00:00 UTC+0000,46.81,46.87,46.87,40.39
2021-01-08 04:00:00 UTC+0000,51.57,50.08,50.08,40.2
2021-01-08 05:00:00 UTC+0000,60.67,57.34,57.34,39.63
2021-01-08 06:00:00 UTC+0000,79.56,67.8,67.8,40.09
2021-01-08 07:00:00 UTC+0000,103.54,86.51,86.51,41.27
2021-01-08 08:00:00 UTC+0000,110.45,86.54,86.54,44.88
2021-01-08 09:00:00 UTC+0000,109.96,85.08,85.08,45.0
2021-01-08 10:00:00 UTC+0000,106.82,88.74,88.74,47.2
2021-01-08 11:00:00 UTC+0000,102.37,88.76,88.76,50.78
2021-01-08 12:00:00 UTC+0000,97.61,84.31,84.31,45.49
2021-01-08 13:00:00 UTC+0000,95.0,80.4,80.4,44.73
2021-01-08 14:00:00 UTC+0000,95.42,83.57,83.57,46.59
2021-01-08 15:00:00 UTC+0000,95.0,89.68,89.68,52.99
2021-01-08 16:00:00 UTC+0000,110.0,100.0,100.0,60.26
2021-01-08 17:00:00 UTC+0000,102.41,90.43,90.43,60.61
2021-01-08 18:00:00 UTC+0000,88.05,80.28,80.28,60.36
2021-01-08 19:00:00 UTC+0000,64.24,66.8,66.8,57.4
2021-01-08 20:00:00 UTC+0000,59.43,60.22,60.22,53.86
2021-01-08 21:00:00 UTC+0000,57.6,59.69,59.69,53.45
2021-01-08 22:00:00 UTC+0000,51.75,52.25,52.25,49.72
2021-01-08 23:00:00 UTC+0000,54.73,46.69,50.53,46.69
2021-01-09 00:00:00 UTC+0000,52.39,42.43,48.43,42.43
2021-01-09 01:00:00 UTC+0000,51.67,41.09,47.24,41.09
2021-01-09 02:00:00 UTC+0000,50.88,40.0,45.61,40.0
2021-01-09 03:00:00 UTC+0000,50.02,37.55,46.81,37.55
2021-01-09 04:00:00 UTC+0000,49.1,39.0,51.57,39.0
