time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-07 23:00:00 UTC+0000,1.1,1.1725,1.1725,1.565
2021-01-08 03:00:00 UTC+0000,1.77,1.73,1.73,2.25
2021-01-08 07:00:00 UTC+0000,9.1,7.02,7.02,3.41
2021-01-08 11:00:00 UTC+0000,6.54,4.67,4.67,3.3625
2021-01-08 15:00:00 UTC+0000,13.88,11.66,11.66,5.44
2021-01-08 19:00:00 UTC+0000,1.78,1.8125,1.8125,2.67
2021-01-08 23:00:00 UTC+0000,1.0725,1.36,1.1,1.36
2021-01-09 03:00:00 UTC+0000,1.57,1.955,1.77,1.955
2021-01-09 07:00:00 UTC+0000,4.35,3.39,9.1,3.39
2021-01-09 11:00:00 UTC+0000,2.95,3.0575,6.54,3.0575
2021-01-09 15:00:00 UTC+0000,6.64,5.3375,13.88,5.3375
2021-01-09 19:00:00 UTC+0000,1.5875,2.255,1.78,2.255
2021-01-09 23:00:00 UTC+0000,0.94,1.22,1.0725,1.22
2021-01-10 03:00:00 UTC+0000,1.2975,1.69,1.57,1.69
2021-01-10 07:00:00 UTC+0000,3.42,2.61,4.35,2.61
2021-01-10 11:00:00 UTC+0000,2.4275,2.4275,2.95,2.4275
2021-01-10 15:00:00 UTC+0000,5.29,4.4325,6.64,4.4325
2021-01-10 19:00:00 UTC+0000,1.32,1.9275,1.5875,1.9275
2021-01-10 23:00:00 UTC+0000,0.9,1.1,0.94,1.32
2021-01-11 03:00:00 UTC+0000,1.5125,1.77,1.2975,1.91
2021-01-11 07:00:00 UTC+0000,4.26,9.1,3.42,4.5675
2021-01-11 11:00:00 UTC+0000,2.625,6.54,2.4275,3.2775
2021-01-11 15:00:00 UTC+0000,6.1,13.88,5.29,6.3375
2021-01-11 19:00:00 UTC+0000,1.265,1.78,1.32,2.11
2021-01-11 23:00:00 UTC+0000,1.065,0.9,0.9,1.25
2021-01-12 03:00:00 UTC+0000,1.625,1.5125,1.5125,1.855
2021-01-12 07:00:00 UTC+0000,4.7,4.26,4.26,4.295
2021-01-12 11:00:00 UTC+0000,2.6075,2.625,2.625,3.105
2021-01-12 15:00:00 UTC+0000,6.75,6.1,6.1,7.01
2021-01-12 19:00:00 UTC+0000,1.46,1.265,1.265,1.975
2021-01-12 23:00:00 UTC+0000,0.895,1.065,1.065,1.1125
2021-01-13 03:00:00 UTC+0000,1.5,1.625,1.625,1.55
2021-01-13 07:00:00 UTC+0000,4.5,4.7,4.7,3.68
2021-01-13 11:00:00 UTC+0000,2.4,2.6075,2.6075,2.725
2021-01-13 15:00:00 UTC+0000,6.1075,6.75,6.75,6.3225
2021-01-13 19:00:00 UTC+0000,1.2275,1.46,1.46,1.8075
2021-01-13 23:00:00 UTC+0000,0.91,0.895,0.895,1.1725
2021-01-14 03:00:00 UTC+0000,1.49,1.5,1.5,1.73
2021-01-14 07:00:00 UTC+0000,8.25,4.5,4.5,7.02
2021-01-14 11:00:00 UTC+0000,5.66,2.4,2.4,4.67
2021-01-14 15:00:00 UTC+0000,12.73,6.1075,6.1075,11.66
2021-01-14 19:00:00 UTC+0000,1.965,1.2275,1.2275,1.8125
2021-01-14 23:00:00 UTC+0000,1.045,0.91,0.91,1.1
2021-01-15 03:00:00 UTC+0000,1.7225,1.49,1.49,1.77
2021-01-15 07:00:00 UTC+0000,9.93,8.25,8.25,9.1
2021-01-15 11:00:00 UTC+0000,6.05,5.66,5.66,6.54
2021-01-15 15:00:00 UTC+0000,14.445,12.73,12.73,13.88
2021-01-15 19:00:00 UTC+0000,1.8775,1.965,1.965,1.78
2021-01-15 23:00:00 UTC+0000,0.95,1.0725,1.045,1.0725
2021-01-16 03:00:00 UTC+0000,1.455,1.57,1.7225,1.57
2021-01-16 07:00:00 UTC+0000,4.715,4.35,9.93,4.35
2021-01-16 11:00:00 UTC+0000,2.9475,2.95,6.05,2.95
2021-01-16 15:00:00 UTC+0000,6.7375,6.64,14.445,6.64
2021-01-16 19:00:00 UTC+0000,1.48,1.5875,1.8775,1.5875
2021-01-16 23:00:00 UTC+0000,0.9,0.94,0.95,0.94
2021-01-17 03:00:00 UTC+0000,1.34,1.2975,1.455,1.2975
2021-01-17 07:00:00 UTC+0000,3.8275,3.42,4.715,3.42
2021-01-17 11:00:00 UTC+0000,2.54,2.4275,2.9475,2.4275
2021-01-17 15:00:00 UTC+0000,5.7375,5.29,6.7375,5.29
2021-01-17 19:00:00 UTC+0000,1.37,1.32,1.48,1.32
2021-01-17 23:00:00 UTC+0000,0.87,1.045,0.9,0.9
2021-01-18 03:00:00 UTC+0000,1.3525,1.7225,1.34,1.5125
2021-01-18 07:00:00 UTC+0000,5.3075,9.93,3.8275,4.26
2021-01-18 11:00:00 UTC+0000,2.56,6.05,2.54,2.625
2021-01-18 15:00:00 UTC+0000,5.645,14.445,5.7375,6.1
2021-01-18 19:00:00 UTC+0000,1.245,1.8775,1.37,1.265
2021-01-18 23:00:00 UTC+0000,0.915,0.87,0.87,1.065
2021-01-19 03:00:00 UTC+0000,1.31,1.3525,1.3525,1.625
2021-01-19 07:00:00 UTC+0000,4.64,5.3075,5.3075,4.7
2021-01-19 11:00:00 UTC+0000,2.29,2.56,2.56,2.6075
2021-01-19 15:00:00 UTC+0000,4.83,5.645,5.645,6.75
2021-01-19 19:00:00 UTC+0000,1.12,1.245,1.245,1.46
2021-01-19 23:00:00 UTC+0000,0.86,0.915,0.915,0.895
2021-01-20 03:00:00 UTC+0000,1.32,1.31,1.31,1.5
2021-01-20 07:00:00 UTC+0000,4.175,4.64,4.64,4.5
2021-01-20 11:00:00 UTC+0000,2.3,2.29,2.29,2.4
2021-01-20 15:00:00 UTC+0000,5.21,4.83,4.83,6.1075
2021-01-20 19:00:00 UTC+0000,1.095,1.12,1.12,1.2275
2021-01-20 23:00:00 UTC+0000,0.8125,0.86,0.86,0.91
2021-01-21 03:00:00 UTC+0000,1.355,1.32,1.32,1.49
2021-01-21 07:00:00 UTC+0000,3.8525,4.175,4.175,8.25
2021-01-21 11:00:00 UTC+0000,1.9525,2.3,2.3,5.66
2021-01-21 15:00:00 UTC+0000,4.99,5.21,5.21,12.73
2021-01-21 19:00:00 UTC+0000,1.035,1.095,1.095,1.965
2021-01-21 23:00:00 UTC+0000,0.7925,0.8125,0.8125,1.045
2021-01-22 03:00:00 UTC+0000,1.41,1.355,1.355,1.7225
2021-01-22 07:00:00 UTC+0000,3.75,3.8525,3.8525,9.93
2021-01-22 11:00:00 UTC+0000,1.85,1.9525,1.9525,6.05
2021-01-22 15:00:00 UTC+0000,8.31,4.99,4.99,14.445
2021-01-22 19:00:00 UTC+0000,1.42,1.035,1.035,1.8775
2021-01-22 23:00:00 UTC+0000,0.8025,0.95,0.7925,0.95
2021-01-23 03:00:00 UTC+0000,1.145,1.455,1.41,1.455
2021-01-23 07:00:00 UTC+0000,3.55,4.715,3.75,4.715
2021-01-23 11:00:00 UTC+0000,1.695,2.9475,1.85,2.9475
2021-01-23 15:00:00 UTC+0000,5.3025,6.7375,8.31,6.7375
2021-01-23 19:00:00 UTC+0000,1.03,1.48,1.42,1.48
2021-01-23 23:00:00 UTC+0000,0.6925,0.9,0.8025,0.9
2021-01-24 03:00:00 UTC+0000,0.99,1.34,1.145,1.34
2021-01-24 07:00:00 UTC+0000,3.0225,3.8275,3.55,3.8275
2021-01-24 11:00:00 UTC+0000,1.465,2.54,1.695,2.54
2021-01-24 15:00:00 UTC+0000,4.5,5.7375,5.3025,5.7375
2021-01-24 19:00:00 UTC+0000,0.9125,1.37,1.03,1.37
2021-01-24 23:00:00 UTC+0000,0.7525,0.7925,0.6925,0.87
2021-01-25 03:00:00 UTC+0000,1.345,1.41,0.99,1.3525
2021-01-25 07:00:00 UTC+0000,8.185,3.75,3.0225,5.3075
2021-01-25 11:00:00 UTC+0000,2.9225,1.85,1.465,2.56
2021-01-25 15:00:00 UTC+0000,7.875,8.31,4.5,5.645
2021-01-25 19:00:00 UTC+0000,1.275,1.42,0.9125,1.245
2021-01-25 23:00:00 UTC+0000,0.98,0.7525,0.7525,0.915
2021-01-26 03:00:00 UTC+0000,1.34,1.345,1.345,1.31
2021-01-26 07:00:00 UTC+0000,7.49,8.185,8.185,4.64
2021-01-26 11:00:00 UTC+0000,2.5925,2.9225,2.9225,2.29
2021-01-26 15:00:00 UTC+0000,6.515,7.875,7.875,4.83
2021-01-26 19:00:00 UTC+0000,1.215,1.275,1.275,1.12
2021-01-26 23:00:00 UTC+0000,0.9725,0.98,0.98,0.86
2021-01-27 03:00:00 UTC+0000,1.285,1.34,1.34,1.32
2021-01-27 07:00:00 UTC+0000,7.455,7.49,7.49,4.175
2021-01-27 11:00:00 UTC+0000,2.4225,2.5925,2.5925,2.3
2021-01-27 15:00:00 UTC+0000,6.1725,6.515,6.515,5.21
2021-01-27 19:00:00 UTC+0000,1.33,1.215,1.215,1.095
2021-01-27 23:00:00 UTC+0000,0.85,0.9725,0.9725,0.8125
2021-01-28 03:00:00 UTC+0000,1.2,1.285,1.285,1.355
2021-01-28 07:00:00 UTC+0000,7.685,7.455,7.455,3.8525
2021-01-28 11:00:00 UTC+0000,2.6075,2.4225,2.4225,1.9525
2021-01-28 15:00:00 UTC+0000,5.5,6.1725,6.1725,4.99
2021-01-28 19:00:00 UTC+0000,1.1425,1.33,1.33,1.035
2021-01-28 23:00:00 UTC+0000,0.8425,0.85,0.85,0.7925
2021-01-29 03:00:00 UTC+0000,1.0475,1.2,1.2,1.41
2021-01-29 07:00:00 UTC+0000,6.0725,7.685,7.685,3.75
2021-01-29 11:00:00 UTC+0000,1.97,2.6075,2.6075,1.85
2021-01-29 15:00:00 UTC+0000,4.905,5.5,5.5,8.31
2021-01-29 19:00:00 UTC+0000,1.0025,1.1425,1.1425,1.42
2021-01-29 23:00:00 UTC+0000,0.785,0.8025,0.8425,0.8025
2021-01-30 03:00:00 UTC+0000,0.9575,1.145,1.0475,1.145
2021-01-30 07:00:00 UTC+0000,4.435,3.55,6.0725,3.55
2021-01-30 11:00:00 UTC+0000,1.685,1.695,1.97,1.695
2021-01-30 15:00:00 UTC+0000,4.9,5.3025,4.905,5.3025
2021-01-30 19:00:00 UTC+0000,0.9775,1.03,1.0025,1.03
2021-01-30 23:00:00 UTC+0000,0.735,0.6925,0.785,0.6925
2021-01-31 03:00:00 UTC+0000,0.8925,0.99,0.9575,0.99
2021-01-31 07:00:00 UTC+0000,3.3125,3.0225,4.435,3.0225
2021-01-31 11:00:00 UTC+0000,1.3975,1.465,1.685,1.465
2021-01-31 15:00:00 UTC+0000,4.675,4.5,4.9,4.5
2021-01-31 19:00:00 UTC+0000,0.88,0.9125,0.9775,0.9125
2021-01-31 23:00:00 UTC+0000,6.9625,0.8425,0.735,0.7525
2021-02-01 03:00:00 UTC+0000,153.765,1.0475,0.8925,1.345
2021-02-01 07:00:00 UTC+0000,7.1125,6.0725,3.3125,8.185
2021-02-01 11:00:00 UTC+0000,3.04,1.97,1.3975,2.9225
2021-02-01 15:00:00 UTC+0000,7.295,4.905,4.675,7.875
2021-02-01 19:00:00 UTC+0000,1.37,1.0025,0.88,1.275
2021-02-01 23:00:00 UTC+0000,15.6925,6.9625,6.9625,0.98
2021-02-02 03:00:00 UTC+0000,27.235,153.765,153.765,1.34
2021-02-02 07:00:00 UTC+0000,12.7125,7.1125,7.1125,7.49
2021-02-02 11:00:00 UTC+0000,8.45,3.04,3.04,2.5925
2021-02-02 15:00:00 UTC+0000,7.2975,7.295,7.295,6.515
2021-02-02 19:00:00 UTC+0000,9.735,1.37,1.37,1.215
2021-02-02 23:00:00 UTC+0000,12.045,15.6925,15.6925,0.9725
2021-02-03 03:00:00 UTC+0000,14.7825,27.235,27.235,1.285
2021-02-03 07:00:00 UTC+0000,10.87,12.7125,12.7125,7.455
2021-02-03 11:00:00 UTC+0000,5.855,8.45,8.45,2.4225
2021-02-03 15:00:00 UTC+0000,9.6875,7.2975,7.2975,6.1725
2021-02-03 19:00:00 UTC+0000,8.5,9.735,9.735,1.33
2021-02-03 23:00:00 UTC+0000,7.4175,12.045,12.045,0.85
2021-02-04 03:00:00 UTC+0000,9.5,14.7825,14.7825,1.2
2021-02-04 07:00:00 UTC+0000,8.3125,10.87,10.87,7.685
2021-02-04 11:00:00 UTC+0000,7.4175,5.855,5.855,2.6075
2021-02-04 15:00:00 UTC+0000,11.875,9.6875,9.6875,5.5
2021-02-04 19:00:00 UTC+0000,6.22,8.5,8.5,1.1425
2021-02-04 23:00:00 UTC+0000,5.08,7.4175,7.4175,0.8425
2021-02-05 03:00:00 UTC+0000,7.55,9.5,9.5,1.0475
2021-02-05 07:00:00 UTC+0000,8.0325,8.3125,8.3125,6.0725
2021-02-05 11:00:00 UTC+0000,5.4675,7.4175,7.4175,1.97
2021-02-05 15:00:00 UTC+0000,9.06,11.875,11.875,4.905
2021-02-05 19:00:00 UTC+0000,4.9825,6.22,6.22,1.0025
2021-02-05 23:00:00 UTC+0000,3.34,0.785,5.08,0.785
2021-02-06 03:00:00 UTC+0000,4.68,0.9575,7.55,0.9575
2021-02-06 07:00:00 UTC+0000,5.3625,4.435,8.0325,4.435
2021-02-06 11:00:00 UTC+0000,3.125,1.685,5.4675,1.685
2021-02-06 15:00:00 UTC+0000,6.145,4.9,9.06,4.9
2021-02-06 19:00:00 UTC+0000,3.1,0.9775,4.9825,0.9775
2021-02-06 23:00:00 UTC+0000,2.075,0.735,3.34,0.735
2021-02-07 03:00:00 UTC+0000,3.0575,0.8925,4.68,0.8925
2021-02-07 07:00:00 UTC+0000,3.72,3.3125,5.3625,3.3125
2021-02-07 11:00:00 UTC+0000,2.045,1.3975,3.125,1.3975
2021-02-07 15:00:00 UTC+0000,5.0575,4.675,6.145,4.675
2021-02-07 19:00:00 UTC+0000,2.29,0.88,3.1,0.88
2021-02-07 23:00:00 UTC+0000,94.95,5.08,2.075,6.9625
2021-02-08 03:00:00 UTC+0000,1587.5,7.55,3.0575,153.765
2021-02-08 07:00:00 UTC+0000,10.1,8.0325,3.72,7.1125
2021-02-08 11:00:00 UTC+0000,6.3325,5.4675,2.045,3.04
2021-02-08 15:00:00 UTC+0000,16.2075,9.06,5.0575,7.295
2021-02-08 19:00:00 UTC+0000,11.0,4.9825,2.29,1.37
2021-02-08 23:00:00 UTC+0000,23.25,94.95,94.95,15.6925
2021-02-09 03:00:00 UTC+0000,61.13,1587.5,1587.5,27.235
2021-02-09 07:00:00 UTC+0000,31.5,10.1,10.1,12.7125
2021-02-09 11:00:00 UTC+0000,14.5825,6.3325,6.3325,8.45
2021-02-09 15:00:00 UTC+0000,23.0,16.2075,16.2075,7.2975
2021-02-09 19:00:00 UTC+0000,15.5,11.0,11.0,9.735
2021-02-09 23:00:00 UTC+0000,13.375,23.25,23.25,12.045
2021-02-10 03:00:00 UTC+0000,27.2375,61.13,61.13,14.7825
2021-02-10 07:00:00 UTC+0000,20.31,31.5,31.5,10.87
2021-02-10 11:00:00 UTC+0000,9.475,14.5825,14.5825,5.855
2021-02-10 15:00:00 UTC+0000,17.3,23.0,23.0,9.6875
2021-02-10 19:00:00 UTC+0000,10.0825,15.5,15.5,8.5
2021-02-10 23:00:00 UTC+0000,10.61,13.375,13.375,7.4175
2021-02-11 03:00:00 UTC+0000,17.19,27.2375,27.2375,9.5
2021-02-11 07:00:00 UTC+0000,19.235,20.31,20.31,8.3125
2021-02-11 11:00:00 UTC+0000,10.235,9.475,9.475,7.4175
2021-02-11 15:00:00 UTC+0000,20.4175,17.3,17.3,11.875
2021-02-11 19:00:00 UTC+0000,7.61,10.0825,10.0825,6.22
2021-02-11 23:00:00 UTC+0000,8.9725,10.61,10.61,5.08
2021-02-12 03:00:00 UTC+0000,14.75,17.19,17.19,7.55
2021-02-12 07:00:00 UTC+0000,18.3625,19.235,19.235,8.0325
2021-02-12 11:00:00 UTC+0000,8.23,10.235,10.235,5.4675
2021-02-12 15:00:00 UTC+0000,19.88,20.4175,20.4175,9.06
2021-02-12 19:00:00 UTC+0000,7.25,7.61,7.61,4.9825
2021-02-12 23:00:00 UTC+0000,6.1175,3.34,8.9725,3.34
2021-02-13 03:00:00 UTC+0000,8.975,4.68,14.75,4.68
2021-02-13 07:00:00 UTC+0000,10.7,5.3625,18.3625,5.3625
2021-02-13 11:00:00 UTC+0000,5.05,3.125,8.23,3.125
2021-02-13 15:00:00 UTC+0000,11.875,6.145,19.88,6.145
2021-02-13 19:00:00 UTC+0000,4.7375,3.1,7.25,3.1
2021-02-13 23:00:00 UTC+0000,3.52,2.075,6.1175,2.075
2021-02-14 03:00:00 UTC+0000,6.25,3.0575,8.975,3.0575
2021-02-14 07:00:00 UTC+0000,6.375,3.72,10.7,3.72
2021-02-14 11:00:00 UTC+0000,3.255,2.045,5.05,2.045
2021-02-14 15:00:00 UTC+0000,7.785,5.0575,11.875,5.0575
2021-02-14 19:00:00 UTC+0000,3.6,2.29,4.7375,2.29
2021-02-14 23:00:00 UTC+0000,37.5,8.9725,3.52,94.95
2021-02-15 03:00:00 UTC+0000,108.75,14.75,6.25,1587.5
2021-02-15 07:00:00 UTC+0000,10.25,18.3625,6.375,10.1
2021-02-15 11:00:00 UTC+0000,5.5,8.23,3.255,6.3325
2021-02-15 15:00:00 UTC+0000,11.8125,19.88,7.785,16.2075
2021-02-15 19:00:00 UTC+0000,6.55,7.25,3.6,11.0
2021-02-15 23:00:00 UTC+0000,12.0,37.5,37.5,23.25
2021-02-16 03:00:00 UTC+0000,19.85,108.75,108.75,61.13
2021-02-16 07:00:00 UTC+0000,12.77,10.25,10.25,31.5
2021-02-16 11:00:00 UTC+0000,4.4725,5.5,5.5,14.5825
2021-02-16 15:00:00 UTC+0000,9.6875,11.8125,11.8125,23.0
2021-02-16 19:00:00 UTC+0000,4.45,6.55,6.55,15.5
2021-02-16 23:00:00 UTC+0000,7.175,12.0,12.0,13.375
2021-02-17 03:00:00 UTC+0000,13.3875,19.85,19.85,27.2375
2021-02-17 07:00:00 UTC+0000,9.8625,12.77,12.77,20.31
2021-02-17 11:00:00 UTC+0000,4.0875,4.4725,4.4725,9.475
2021-02-17 15:00:00 UTC+0000,9.625,9.6875,9.6875,17.3
2021-02-17 19:00:00 UTC+0000,16.25,4.45,4.45,10.0825
2021-02-17 23:00:00 UTC+0000,5.7075,7.175,7.175,10.61
2021-02-18 03:00:00 UTC+0000,10.7825,13.3875,13.3875,17.19
2021-02-18 07:00:00 UTC+0000,10.66,9.8625,9.8625,19.235
2021-02-18 11:00:00 UTC+0000,4.25,4.0875,4.0875,10.235
2021-02-18 15:00:00 UTC+0000,7.655,9.625,9.625,20.4175
2021-02-18 19:00:00 UTC+0000,7.15,16.25,16.25,7.61
2021-02-18 23:00:00 UTC+0000,4.235,5.7075,5.7075,8.9725
2021-02-19 03:00:00 UTC+0000,7.9625,10.7825,10.7825,14.75
2021-02-19 07:00:00 UTC+0000,9.0,10.66,10.66,18.3625
2021-02-19 11:00:00 UTC+0000,3.6675,4.25,4.25,8.23
2021-02-19 15:00:00 UTC+0000,8.96,7.655,7.655,19.88
2021-02-19 19:00:00 UTC+0000,5.36,7.15,7.15,7.25
2021-02-19 23:00:00 UTC+0000,2.8625,6.1175,4.235,6.1175
2021-02-20 03:00:00 UTC+0000,5.1925,8.975,7.9625,8.975
2021-02-20 07:00:00 UTC+0000,5.7525,10.7,9.0,10.7
2021-02-20 11:00:00 UTC+0000,2.75,5.05,3.6675,5.05
2021-02-20 15:00:00 UTC+0000,6.43,11.875,8.96,11.875
2021-02-20 19:00:00 UTC+0000,3.24,4.7375,5.36,4.7375
2021-02-20 23:00:00 UTC+0000,2.32,3.52,2.8625,3.52
2021-02-21 03:00:00 UTC+0000,3.75,6.25,5.1925,6.25
2021-02-21 07:00:00 UTC+0000,4.23,6.375,5.7525,6.375
2021-02-21 11:00:00 UTC+0000,2.27,3.255,2.75,3.255
2021-02-21 15:00:00 UTC+0000,6.87,7.785,6.43,7.785
2021-02-21 19:00:00 UTC+0000,2.6,3.6,3.24,3.6
2021-02-21 23:00:00 UTC+0000,34.09,4.235,2.32,37.5
2021-02-22 03:00:00 UTC+0000,73.0,7.9625,3.75,108.75
2021-02-22 07:00:00 UTC+0000,23.34,9.0,4.23,10.25
2021-02-22 11:00:00 UTC+0000,7.2125,3.6675,2.27,5.5
2021-02-22 15:00:00 UTC+0000,22.8325,8.96,6.87,11.8125
2021-02-22 19:00:00 UTC+0000,11.0,5.36,2.6,6.55
2021-02-22 23:00:00 UTC+0000,13.0025,34.09,34.09,12.0
2021-02-23 03:00:00 UTC+0000,18.75,73.0,73.0,19.85
2021-02-23 07:00:00 UTC+0000,12.6875,23.34,23.34,12.77
2021-02-23 11:00:00 UTC+0000,4.595,7.2125,7.2125,4.4725
2021-02-23 15:00:00 UTC+0000,12.6875,22.8325,22.8325,9.6875
2021-02-23 19:00:00 UTC+0000,6.525,11.0,11.0,4.45
2021-02-23 23:00:00 UTC+0000,6.75,13.0025,13.0025,7.175
2021-02-24 03:00:00 UTC+0000,10.95,18.75,18.75,13.3875
2021-02-24 07:00:00 UTC+0000,9.255,12.6875,12.6875,9.8625
2021-02-24 11:00:00 UTC+0000,3.72,4.595,4.595,4.0875
2021-02-24 15:00:00 UTC+0000,9.515,12.6875,12.6875,9.625
2021-02-24 19:00:00 UTC+0000,5.3375,6.525,6.525,16.25
2021-02-24 23:00:00 UTC+0000,5.0625,6.75,6.75,5.7075
2021-02-25 03:00:00 UTC+0000,9.6125,10.95,10.95,10.7825
2021-02-25 07:00:00 UTC+0000,8.725,9.255,9.255,10.66
2021-02-25 11:00:00 UTC+0000,3.4875,3.72,3.72,4.25
2021-02-25 15:00:00 UTC+0000,9.565,9.515,9.515,7.655
2021-02-25 19:00:00 UTC+0000,4.8075,5.3375,5.3375,7.15
2021-02-25 23:00:00 UTC+0000,4.075,5.0625,5.0625,4.235
2021-02-26 03:00:00 UTC+0000,8.33,9.6125,9.6125,7.9625
2021-02-26 07:00:00 UTC+0000,7.875,8.725,8.725,9.0
2021-02-26 11:00:00 UTC+0000,3.25,3.4875,3.4875,3.6675
2021-02-26 15:00:00 UTC+0000,8.5,9.565,9.565,8.96
2021-02-26 19:00:00 UTC+0000,4.1125,4.8075,4.8075,5.36
2021-02-26 23:00:00 UTC+0000,2.6225,2.8625,4.075,2.8625
2021-02-27 03:00:00 UTC+0000,4.92,5.1925,8.33,5.1925
2021-02-27 07:00:00 UTC+0000,5.16,5.7525,7.875,5.7525
2021-02-27 11:00:00 UTC+0000,2.3175,2.75,3.25,2.75
2021-02-27 15:00:00 UTC+0000,7.5,6.43,8.5,6.43
2021-02-27 19:00:00 UTC+0000,3.5,3.24,4.1125,3.24
2021-02-27 23:00:00 UTC+0000,2.09,2.32,2.6225,2.32
2021-02-28 03:00:00 UTC+0000,3.5,3.75,4.92,3.75
2021-02-28 07:00:00 UTC+0000,3.9925,4.23,5.16,4.23
2021-02-28 11:00:00 UTC+0000,1.97,2.27,2.3175,2.27
2021-02-28 15:00:00 UTC+0000,6.735,6.87,7.5,6.87
2021-02-28 19:00:00 UTC+0000,2.4925,2.6,3.5,2.6
2021-02-28 23:00:00 UTC+0000,22.725,4.075,2.09,34.09
2021-03-01 03:00:00 UTC+0000,40.3325,8.33,3.5,73.0
2021-03-01 07:00:00 UTC+0000,17.1675,7.875,3.9925,23.34
2021-03-01 11:00:00 UTC+0000,5.78,3.25,1.97,7.2125
2021-03-01 15:00:00 UTC+0000,17.5,8.5,6.735,22.8325
2021-03-01 19:00:00 UTC+0000,7.8725,4.1125,2.4925,11.0
2021-03-01 23:00:00 UTC+0000,12.5,22.725,22.725,13.0025
2021-03-02 03:00:00 UTC+0000,18.22,40.3325,40.3325,18.75
2021-03-02 07:00:00 UTC+0000,12.4025,17.1675,17.1675,12.6875
2021-03-02 11:00:00 UTC+0000,4.41,5.78,5.78,4.595
2021-03-02 15:00:00 UTC+0000,12.665,17.5,17.5,12.6875
2021-03-02 19:00:00 UTC+0000,5.7,7.8725,7.8725,6.525
2021-03-02 23:00:00 UTC+0000,6.6275,12.5,12.5,6.75
2021-03-03 03:00:00 UTC+0000,10.6675,18.22,18.22,10.95
2021-03-03 07:00:00 UTC+0000,9.7,12.4025,12.4025,9.255
2021-03-03 11:00:00 UTC+0000,3.4125,4.41,4.41,3.72
2021-03-03 15:00:00 UTC+0000,11.055,12.665,12.665,9.515
2021-03-03 19:00:00 UTC+0000,4.5825,5.7,5.7,5.3375
2021-03-03 23:00:00 UTC+0000,4.895,6.6275,6.6275,5.0625
2021-03-04 03:00:00 UTC+0000,10.1675,10.6675,10.6675,9.6125
2021-03-04 07:00:00 UTC+0000,9.8325,9.7,9.7,8.725
2021-03-04 11:00:00 UTC+0000,3.15,3.4125,3.4125,3.4875
2021-03-04 15:00:00 UTC+0000,9.3175,11.055,11.055,9.565
2021-03-04 19:00:00 UTC+0000,3.81,4.5825,4.5825,4.8075
2021-03-04 23:00:00 UTC+0000,4.12,4.895,4.895,4.075
2021-03-05 03:00:00 UTC+0000,14.75,10.1675,10.1675,8.33
2021-03-05 07:00:00 UTC+0000,9.0725,9.8325,9.8325,7.875
2021-03-05 11:00:00 UTC+0000,2.61,3.15,3.15,3.25
2021-03-05 15:00:00 UTC+0000,8.39,9.3175,9.3175,8.5
2021-03-05 19:00:00 UTC+0000,3.435,3.81,3.81,4.1125
2021-03-05 23:00:00 UTC+0000,2.5,2.6225,4.12,2.6225
2021-03-06 03:00:00 UTC+0000,6.725,4.92,14.75,4.92
2021-03-06 07:00:00 UTC+0000,6.18,5.16,9.0725,5.16
2021-03-06 11:00:00 UTC+0000,2.01,2.3175,2.61,2.3175
2021-03-06 15:00:00 UTC+0000,7.5,7.5,8.39,7.5
2021-03-06 19:00:00 UTC+0000,2.705,3.5,3.435,3.5
2021-03-06 23:00:00 UTC+0000,1.8125,2.09,2.5,2.09
2021-03-07 03:00:00 UTC+0000,4.14,3.5,6.725,3.5
2021-03-07 07:00:00 UTC+0000,4.0,3.9925,6.18,3.9925
2021-03-07 11:00:00 UTC+0000,1.7125,1.97,2.01,1.97
2021-03-07 15:00:00 UTC+0000,6.255,6.735,7.5,6.735
2021-03-07 19:00:00 UTC+0000,2.035,2.4925,2.705,2.4925
2021-03-07 23:00:00 UTC+0000,14.0,4.12,1.8125,22.725
2021-03-08 03:00:00 UTC+0000,23.25,14.75,4.14,40.3325
2021-03-08 07:00:00 UTC+0000,14.1225,9.0725,4.0,17.1675
2021-03-08 11:00:00 UTC+0000,5.3475,2.61,1.7125,5.78
2021-03-08 15:00:00 UTC+0000,17.5,8.39,6.255,17.5
2021-03-08 19:00:00 UTC+0000,6.875,3.435,2.035,7.8725
2021-03-08 23:00:00 UTC+0000,8.28,14.0,14.0,12.5
2021-03-09 03:00:00 UTC+0000,13.25,23.25,23.25,18.22
2021-03-09 07:00:00 UTC+0000,12.245,14.1225,14.1225,12.4025
2021-03-09 11:00:00 UTC+0000,4.0,5.3475,5.3475,4.41
2021-03-09 15:00:00 UTC+0000,17.0,17.5,17.5,12.665
2021-03-09 19:00:00 UTC+0000,4.855,6.875,6.875,5.7
2021-03-09 23:00:00 UTC+0000,5.28,8.28,8.28,6.6275
2021-03-10 03:00:00 UTC+0000,8.6025,13.25,13.25,10.6675
2021-03-10 07:00:00 UTC+0000,9.0,12.245,12.245,9.7
2021-03-10 11:00:00 UTC+0000,2.9,4.0,4.0,3.4125
