time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-07 23:00:00 UTC+0000,4.42,4.77,4.77,5.5825
2021-01-08 03:00:00 UTC+0000,2.36,2.455,2.455,4.6
2021-01-08 07:00:00 UTC+0000,0.645,0.75,0.75,1.5
2021-01-08 11:00:00 UTC+0000,0.6275,0.7175,0.7175,1.4575
2021-01-08 15:00:00 UTC+0000,0.6175,0.685,0.685,1.25
2021-01-08 19:00:00 UTC+0000,0.6675,0.7425,0.7425,1.19
2021-01-08 23:00:00 UTC+0000,4.4575,4.8325,4.42,4.8325
2021-01-09 03:00:00 UTC+0000,2.1,3.9,2.36,3.9
2021-01-09 07:00:00 UTC+0000,0.7375,1.19,0.645,1.19
2021-01-09 11:00:00 UTC+0000,0.6475,1.15,0.6275,1.15
2021-01-09 15:00:00 UTC+0000,0.65,0.995,0.6175,0.995
2021-01-09 19:00:00 UTC+0000,0.66,0.98,0.6675,0.98
2021-01-09 23:00:00 UTC+0000,3.88,4.63,4.4575,4.63
2021-01-10 03:00:00 UTC+0000,1.8075,4.3375,2.1,4.3375
2021-01-10 07:00:00 UTC+0000,0.6225,1.45,0.7375,1.45
2021-01-10 11:00:00 UTC+0000,0.56,1.26,0.6475,1.26
2021-01-10 15:00:00 UTC+0000,0.54,1.005,0.65,1.005
2021-01-10 19:00:00 UTC+0000,0.57,1.27,0.66,1.27
2021-01-10 23:00:00 UTC+0000,3.9725,4.42,3.88,5.31
2021-01-11 03:00:00 UTC+0000,1.75,2.36,1.8075,3.71
2021-01-11 07:00:00 UTC+0000,0.525,0.645,0.6225,1.1925
2021-01-11 11:00:00 UTC+0000,0.5175,0.6275,0.56,1.05
2021-01-11 15:00:00 UTC+0000,0.5,0.6175,0.54,0.9125
2021-01-11 19:00:00 UTC+0000,2.25,0.6675,0.57,0.95
2021-01-11 23:00:00 UTC+0000,10.625,3.9725,3.9725,4.86
2021-01-12 03:00:00 UTC+0000,3.2375,1.75,1.75,3.2175
2021-01-12 07:00:00 UTC+0000,0.5525,0.525,0.525,0.9825
2021-01-12 11:00:00 UTC+0000,0.5525,0.5175,0.5175,0.92
2021-01-12 15:00:00 UTC+0000,0.505,0.5,0.5,0.78
2021-01-12 19:00:00 UTC+0000,1.9125,2.25,2.25,0.835
2021-01-12 23:00:00 UTC+0000,8.0,10.625,10.625,4.91
2021-01-13 03:00:00 UTC+0000,2.485,3.2375,3.2375,2.775
2021-01-13 07:00:00 UTC+0000,0.65,0.5525,0.5525,0.875
2021-01-13 11:00:00 UTC+0000,0.5,0.5525,0.5525,0.8125
2021-01-13 15:00:00 UTC+0000,0.5,0.505,0.505,0.76
2021-01-13 19:00:00 UTC+0000,1.3,1.9125,1.9125,0.775
2021-01-13 23:00:00 UTC+0000,5.0,8.0,8.0,4.77
2021-01-14 03:00:00 UTC+0000,1.72,2.485,2.485,2.455
2021-01-14 07:00:00 UTC+0000,0.5,0.65,0.65,0.75
2021-01-14 11:00:00 UTC+0000,0.46,0.5,0.5,0.7175
2021-01-14 15:00:00 UTC+0000,0.4775,0.5,0.5,0.685
2021-01-14 19:00:00 UTC+0000,0.8125,1.3,1.3,0.7425
2021-01-14 23:00:00 UTC+0000,4.3275,5.0,5.0,4.42
2021-01-15 03:00:00 UTC+0000,1.3825,1.72,1.72,2.36
2021-01-15 07:00:00 UTC+0000,0.45,0.5,0.5,0.645
2021-01-15 11:00:00 UTC+0000,0.425,0.46,0.46,0.6275
2021-01-15 15:00:00 UTC+0000,0.45,0.4775,0.4775,0.6175
2021-01-15 19:00:00 UTC+0000,0.69,0.8125,0.8125,0.6675
2021-01-15 23:00:00 UTC+0000,3.64,4.4575,4.3275,4.4575
2021-01-16 03:00:00 UTC+0000,1.25,2.1,1.3825,2.1
2021-01-16 07:00:00 UTC+0000,0.4375,0.7375,0.45,0.7375
2021-01-16 11:00:00 UTC+0000,0.405,0.6475,0.425,0.6475
2021-01-16 15:00:00 UTC+0000,0.405,0.65,0.45,0.65
2021-01-16 19:00:00 UTC+0000,0.6,0.66,0.69,0.66
2021-01-16 23:00:00 UTC+0000,3.45,3.88,3.64,3.88
2021-01-17 03:00:00 UTC+0000,1.2325,1.8075,1.25,1.8075
2021-01-17 07:00:00 UTC+0000,0.395,0.6225,0.4375,0.6225
2021-01-17 11:00:00 UTC+0000,0.37,0.56,0.405,0.56
2021-01-17 15:00:00 UTC+0000,0.375,0.54,0.405,0.54
2021-01-17 19:00:00 UTC+0000,0.52,0.57,0.6,0.57
2021-01-17 23:00:00 UTC+0000,3.44,4.3275,3.45,3.9725
2021-01-18 03:00:00 UTC+0000,1.085,1.3825,1.2325,1.75
2021-01-18 07:00:00 UTC+0000,0.38,0.45,0.395,0.525
2021-01-18 11:00:00 UTC+0000,0.365,0.425,0.37,0.5175
2021-01-18 15:00:00 UTC+0000,0.375,0.45,0.375,0.5
2021-01-18 19:00:00 UTC+0000,1.1,0.69,0.52,2.25
2021-01-18 23:00:00 UTC+0000,5.45,3.44,3.44,10.625
2021-01-19 03:00:00 UTC+0000,1.185,1.085,1.085,3.2375
2021-01-19 07:00:00 UTC+0000,0.375,0.38,0.38,0.5525
2021-01-19 11:00:00 UTC+0000,0.375,0.365,0.365,0.5525
2021-01-19 15:00:00 UTC+0000,0.375,0.375,0.375,0.505
2021-01-19 19:00:00 UTC+0000,1.25,1.1,1.1,1.9125
2021-01-19 23:00:00 UTC+0000,10.53,5.45,5.45,8.0
2021-01-20 03:00:00 UTC+0000,4.54,1.185,1.185,2.485
2021-01-20 07:00:00 UTC+0000,0.505,0.375,0.375,0.65
2021-01-20 11:00:00 UTC+0000,0.3525,0.375,0.375,0.5
2021-01-20 15:00:00 UTC+0000,0.3675,0.375,0.375,0.5
2021-01-20 19:00:00 UTC+0000,1.32,1.25,1.25,1.3
2021-01-20 23:00:00 UTC+0000,16.67,10.53,10.53,5.0
2021-01-21 03:00:00 UTC+0000,9.07,4.54,4.54,1.72
