time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-07 23:00:00 UTC+0000,0.45,0.5975,0.5975,0.25
2021-01-08 03:00:00 UTC+0000,1.925,1.6,1.6,0.34
2021-01-08 07:00:00 UTC+0000,9.97,7.75,7.75,0.85
2021-01-08 11:00:00 UTC+0000,7.23,4.6,4.6,0.85
2021-01-08 15:00:00 UTC+0000,14.25,10.98,10.98,3.05
2021-01-08 19:00:00 UTC+0000,1.75,1.85,1.85,1.215
2021-01-08 23:00:00 UTC+0000,0.325,0.265,0.45,0.265
2021-01-09 03:00:00 UTC+0000,1.165,0.3,1.925,0.3
2021-01-09 07:00:00 UTC+0000,3.65,1.25,9.97,1.25
2021-01-09 11:00:00 UTC+0000,2.465,1.0,7.23,1.0
2021-01-09 15:00:00 UTC+0000,5.05,3.45,14.25,3.45
2021-01-09 19:00:00 UTC+0000,1.3,1.2,1.75,1.2
2021-01-09 23:00:00 UTC+0000,0.25,0.25,0.325,0.25
2021-01-10 03:00:00 UTC+0000,0.6675,0.5,1.165,0.5
2021-01-10 07:00:00 UTC+0000,2.25,1.0,3.65,1.0
2021-01-10 11:00:00 UTC+0000,1.72,0.8175,2.465,0.8175
2021-01-10 15:00:00 UTC+0000,3.95,3.04,5.05,3.04
2021-01-10 19:00:00 UTC+0000,1.0,1.0,1.3,1.0
2021-01-10 23:00:00 UTC+0000,0.2275,0.45,0.25,0.25
2021-01-11 03:00:00 UTC+0000,0.735,1.925,0.6675,1.0
2021-01-11 07:00:00 UTC+0000,3.3975,9.97,2.25,2.5
2021-01-11 11:00:00 UTC+0000,2.2,7.23,1.72,1.5
2021-01-11 15:00:00 UTC+0000,4.85,14.25,3.95,5.14
2021-01-11 19:00:00 UTC+0000,0.96,1.75,1.0,1.5
2021-01-11 23:00:00 UTC+0000,0.25,0.2275,0.2275,0.5
2021-01-12 03:00:00 UTC+0000,0.72,0.735,0.735,1.0
2021-01-12 07:00:00 UTC+0000,4.0,3.3975,3.3975,2.075
2021-01-12 11:00:00 UTC+0000,1.62,2.2,2.2,1.29
2021-01-12 15:00:00 UTC+0000,4.6,4.85,4.85,4.6
2021-01-12 19:00:00 UTC+0000,0.93,0.96,0.96,1.11
2021-01-12 23:00:00 UTC+0000,0.25,0.25,0.25,0.265
2021-01-13 03:00:00 UTC+0000,0.675,0.72,0.72,0.52
2021-01-13 07:00:00 UTC+0000,3.5,4.0,4.0,1.25
2021-01-13 11:00:00 UTC+0000,1.45,1.62,1.62,1.025
2021-01-13 15:00:00 UTC+0000,4.29,4.6,4.6,4.175
2021-01-13 19:00:00 UTC+0000,0.79,0.93,0.93,0.95
2021-01-13 23:00:00 UTC+0000,0.45,0.25,0.25,0.5975
2021-01-14 03:00:00 UTC+0000,1.5075,0.675,0.675,1.6
2021-01-14 07:00:00 UTC+0000,19.98,3.5,3.5,7.75
2021-01-14 11:00:00 UTC+0000,10.625,1.45,1.45,4.6
2021-01-14 15:00:00 UTC+0000,32.68,4.29,4.29,10.98
2021-01-14 19:00:00 UTC+0000,1.75,0.79,0.79,1.85
2021-01-14 23:00:00 UTC+0000,0.34,0.45,0.45,0.45
2021-01-15 03:00:00 UTC+0000,1.75,1.5075,1.5075,1.925
2021-01-15 07:00:00 UTC+0000,19.75,19.98,19.98,9.97
2021-01-15 11:00:00 UTC+0000,8.545,10.625,10.625,7.23
2021-01-15 15:00:00 UTC+0000,26.25,32.68,32.68,14.25
2021-01-15 19:00:00 UTC+0000,1.575,1.75,1.75,1.75
2021-01-15 23:00:00 UTC+0000,0.3,0.325,0.34,0.325
2021-01-16 03:00:00 UTC+0000,1.0,1.165,1.75,1.165
2021-01-16 07:00:00 UTC+0000,4.9175,3.65,19.75,3.65
2021-01-16 11:00:00 UTC+0000,2.4725,2.465,8.545,2.465
2021-01-16 15:00:00 UTC+0000,6.79,5.05,26.25,5.05
2021-01-16 19:00:00 UTC+0000,1.0,1.3,1.575,1.3
2021-01-16 23:00:00 UTC+0000,0.25,0.25,0.3,0.25
2021-01-17 03:00:00 UTC+0000,0.77,0.6675,1.0,0.6675
2021-01-17 07:00:00 UTC+0000,3.625,2.25,4.9175,2.25
2021-01-17 11:00:00 UTC+0000,1.75,1.72,2.4725,1.72
2021-01-17 15:00:00 UTC+0000,4.75,3.95,6.79,3.95
2021-01-17 19:00:00 UTC+0000,0.85,1.0,1.0,1.0
2021-01-17 23:00:00 UTC+0000,0.2275,0.34,0.25,0.2275
2021-01-18 03:00:00 UTC+0000,2.4975,1.75,0.77,0.735
