time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-07 23:00:00 UTC+0000,0.435,0.54,0.54,1.745
2021-01-08 03:00:00 UTC+0000,0.44,0.5275,0.5275,1.35
2021-01-08 07:00:00 UTC+0000,0.1475,0.185,0.185,0.4
2021-01-08 11:00:00 UTC+0000,0.135,0.155,0.155,0.29
2021-01-08 15:00:00 UTC+0000,0.1475,0.18,0.18,0.3
2021-01-08 19:00:00 UTC+0000,0.1475,0.1775,0.1775,0.335
2021-01-08 23:00:00 UTC+0000,0.38,1.2075,0.435,1.2075
2021-01-09 03:00:00 UTC+0000,0.37,0.9575,0.44,0.9575
2021-01-09 07:00:00 UTC+0000,0.1525,0.3,0.1475,0.3
2021-01-09 11:00:00 UTC+0000,0.125,0.225,0.135,0.225
2021-01-09 15:00:00 UTC+0000,0.14,0.2275,0.1475,0.2275
2021-01-09 19:00:00 UTC+0000,0.1425,0.25,0.1475,0.25
2021-01-09 23:00:00 UTC+0000,0.4125,1.05,0.38,1.05
2021-01-10 03:00:00 UTC+0000,0.4075,0.905,0.37,0.905
2021-01-10 07:00:00 UTC+0000,0.2125,0.375,0.1525,0.375
2021-01-10 11:00:00 UTC+0000,0.1325,0.3125,0.125,0.3125
2021-01-10 15:00:00 UTC+0000,0.13,0.3,0.14,0.3
2021-01-10 19:00:00 UTC+0000,0.17,0.325,0.1425,0.325
2021-01-10 23:00:00 UTC+0000,0.5625,0.435,0.4125,0.875
2021-01-11 03:00:00 UTC+0000,0.745,0.44,0.4075,0.75
2021-01-11 07:00:00 UTC+0000,0.1425,0.1475,0.2125,0.2625
2021-01-11 11:00:00 UTC+0000,0.125,0.135,0.1325,0.2
2021-01-11 15:00:00 UTC+0000,0.125,0.1475,0.13,0.1975
2021-01-11 19:00:00 UTC+0000,1.25,0.1475,0.17,0.2575
2021-01-11 23:00:00 UTC+0000,2.71,0.5625,0.5625,0.685
2021-01-12 03:00:00 UTC+0000,1.5,0.745,0.745,0.65
2021-01-12 07:00:00 UTC+0000,0.1875,0.1425,0.1425,0.22
2021-01-12 11:00:00 UTC+0000,0.16,0.125,0.125,0.2275
2021-01-12 15:00:00 UTC+0000,0.16,0.125,0.125,0.165
2021-01-12 19:00:00 UTC+0000,1.25,1.25,1.25,0.22
2021-01-12 23:00:00 UTC+0000,1.645,2.71,2.71,0.5825
2021-01-13 03:00:00 UTC+0000,0.9775,1.5,1.5,0.6
2021-01-13 07:00:00 UTC+0000,0.16,0.1875,0.1875,0.22
2021-01-13 11:00:00 UTC+0000,0.13,0.16,0.16,0.195
2021-01-13 15:00:00 UTC+0000,0.12,0.16,0.16,0.225
2021-01-13 19:00:00 UTC+0000,0.77,1.25,1.25,0.195
2021-01-13 23:00:00 UTC+0000,1.0025,1.645,1.645,0.54
2021-01-14 03:00:00 UTC+0000,0.5,0.9775,0.9775,0.5275
2021-01-14 07:00:00 UTC+0000,0.13,0.16,0.16,0.185
2021-01-14 11:00:00 UTC+0000,0.1,0.13,0.13,0.155
2021-01-14 15:00:00 UTC+0000,0.095,0.12,0.12,0.18
2021-01-14 19:00:00 UTC+0000,0.47,0.77,0.77,0.1775
2021-01-14 23:00:00 UTC+0000,0.375,1.0025,1.0025,0.435
2021-01-15 03:00:00 UTC+0000,0.3125,0.5,0.5,0.44
2021-01-15 07:00:00 UTC+0000,0.1,0.13,0.13,0.1475
2021-01-15 11:00:00 UTC+0000,0.0875,0.1,0.1,0.135
2021-01-15 15:00:00 UTC+0000,0.08,0.095,0.095,0.1475
2021-01-15 19:00:00 UTC+0000,0.25,0.47,0.47,0.1475
2021-01-15 23:00:00 UTC+0000,0.2125,0.38,0.375,0.38
2021-01-16 03:00:00 UTC+0000,0.205,0.37,0.3125,0.37
